name	indication	catagories	synonyms
Balsalazide	For the treatment of mildly to moderately active ulcerative colitis.	Anti-Inflammatory Agents, Non-Steroidal****spec****Gastrointestinal Agents****spec****	(e)-5-((4-(((2-Carboxyethyl)amino)carbonyl)phenyl)azo)-2-hydroxybenzoic acid****spec****(e)-5-({p-[(2-carboxyethyl)carbamoyl]phenyl}azo)-2-salicylic acid****spec****3-(2-{4-[(2-carboxyethyl)carbamoyl]phenyl}hydrazinylidene)-6-oxocyclohexa-1,4-diene-1-carboxylic acid****spec****5-[4-(2-Carboxy-ethylcarbamoyl)-phenylazo]-2-hydroxy-benzoic acid****spec****Balsalazida****spec****Balsalazido****spec****Balsalazidum****spec****
Sulfamethoxazole	For the treatment bacterial infections causing bronchitis, prostatitis and urinary tract infections.	Sulfonamides****spec****Anti-Infective Agents****spec****	3-(p-Aminophenylsulfonamido)-5-methylisoxazole****spec****3-Sulfanilamido-5-methylisoxazole****spec****4-Amino-N-(5-methyl-3-isoxazolyl)benzenesulfonamide****spec****Gantanol (tn)****spec****SMX****spec****Sulfamethoxazole****spec****
Glyburide	Indicated as an adjunct to diet to lower the blood glucose in patients with NIDDM whose hyperglycemia cannot be satisfactorily controlled by diet alone.	Hypoglycemic Agents****spec****BSEP/ABCB11 Inhibitors (Clinically Relevant)****spec****Antidiabetic Agents****spec****Anti-Arrhythmia Agents****spec****	1-((P-(2-(5-chloro-O-Anisamido)ethyl)phenyl)sulfonyl)-3-cyclohexylurea****spec****1-(P-(2-(5-chloro-2-Methoxybenzamido)ethyl)benzenesulfonyl)-3-cyclohexylurea****spec****5-chloro-N-(2-(4-((((Cyclohexylamino)carbonyl)amino)sulfonyl)phenyl)ethyl)-2-methoxybenzamide****spec****Diabeta****spec****Glibenclamida****spec****Glibenclamide****spec****Glibenclamidum****spec****Glyburide****spec****Glynase****spec****Micronase****spec****
Minocycline	For the treatment of infections caused by susceptible strains of microorganisms, such as Rocky Mountain spotted fever, typhus fever and the typhus group, Q fever, rickettsial pox and tick fevers caused by Rickettsiae, upper respiratory tract infections caused by <i>Streptococcus pneumoniae</i> and for the treatment of asymptomatic carriers of <i>Neisseria meningitidis</i>.	Tetracyclines****spec****Anti-Bacterial Agents****spec****	(4S,4AS,5ar,12as)-4,7-bis(dimethylamino)-3,10,12,12a-tetrahydroxy-1,11-dioxo-1,4,4a,5,5a,6,11,12a-octahydrotetracene-2-carboxamide****spec****7-Dimethylamino-6-demethyl-6-deoxytetracycline****spec****Minociclina****spec****Minociclinum****spec****Minocyclin****spec****Minocyclinum****spec****
Guanfacine	For use alone or in combination with other classes of antihypertensive agents in the management of hypertension. Has also been used for the treatment of attention deficit hyperactivity disorder (ADHD) in pediatric patients.	Adrenergic alpha-2 Receptor Agonists****spec****Antihypertensive Agents****spec****	Estulic****spec****Guanfacina****spec****Guanfacinum****spec****
Bethanechol	For the treatment of acute postoperative and postpartum nonobstructive (functional) urinary retention and for neurogenic atony of the urinary bladder with retention.	Parasympathomimetics****spec****Muscarinic Agonists****spec****	(2-Hydroxypropyl)trimethylammonium carbamate****spec****2-(Carbamoyloxy)-N,N,N-trimethylpropan-1-aminium****spec****2-Carbamoyloxypropyl-trimethylazanium****spec****Amidopropyldimethylbetaine****spec****Bethanechol****spec****Carbamoyl-beta-methylcholine****spec****carbamoyl-β-methylcholine****spec****Carbamyl-beta-methylcholine****spec****carbamyl-β-methylcholine****spec****
Isosorbide Mononitrate	For the prevention of angina pectoris due to coronary artery disease and the treatment of acute and chronic angina pectoris, hypertension, and myocardial infarction.	Vasodilator Agents****spec****Nitric Oxide Donors****spec****	Corangin****spec****Duride****spec****Elantan****spec****Imdur****spec****Imtrate****spec****Ismexin****spec****Ismo****spec****Ismox****spec****Isosorbide mononitrate****spec****Isosorbidi Mononitras****spec****Medocor****spec****Monicor****spec****Mono corax****spec****Monocedocard****spec****Monocord****spec****Monodur durules****spec****Monoket****spec****Monolong****spec****Monomax****spec****Mononit****spec****Mononitrate d'Isosorbide****spec****Mononitrato de Isosorbida****spec****Monopront****spec****Monosorb xl 60****spec****Monosorbitrate****spec****Monosordil****spec****Nitramin****spec****Olicard****spec****Orasorbil****spec****Pertil****spec****Promocard****spec****Sigacora****spec****Sorbimon****spec****Turimonit****spec****Uniket****spec****Vasdilat****spec****
Trichlormethiazide	Used in the treatment of oedema (including that associated with heart failure) and hypertension.	Diuretics****spec****Antihypertensive Agents****spec****Sodium Chloride Symporter Inhibitors****spec****	Naqua****spec****
Phylloquinone	For the treatment of haemorrhagic conditions in infants, antidote for coumarin anticoagulants in hypoprothrombinaemia.	Vitamin K****spec****Vitamins****spec****Antifibrinolytic Agents****spec****	2-Methyl-3-(3,7,11,15-tetramethyl-2-hexadecenyl)-1,4-naphthalenedione****spec****2-Methyl-3-[(2e)-3,7,11,15-tetramethyl-2-hexadecenyl]naphthoquinone****spec****2-Methyl-3-phytyl-1,4-naphthochinon****spec****2-Methyl-3-phytyl-1,4-naphthoquinone****spec****3-Phytylmenadione****spec****alpha-Phylloquinone****spec****Fitomenadiona****spec****Phyllochinon****spec****Phyllochinonum****spec****Phylloquinone****spec****Phythyl-menadion****spec****Phytomenadione****spec****Phytomenadionum****spec****Phytonadione****spec****Phytonadionum****spec****Phytylmenadione****spec****trans-Phylloquinone****spec****Vitamin K1****spec****α-phylloquinone****spec****
Felodipine	For the treatment of mild to moderate essential hypertension. 	Antihypertensive Agents****spec****Anti-Arrhythmia Agents****spec****Vasodilator Agents****spec****Calcium Channel Blockers****spec****Dihydropyridines****spec****	(+-)-Ethyl methyl 4-(2,3-dichlorophenyl)-1,4-dihydro-2,6-dimethyl-3,5-pyridinedicarboxylate****spec****3-Ethyl 5-methyl 4-(2,3-dichlorophenyl)-2,6-dimethyl-1,4-dihydro-3,5-pyridinedicarboxylate****spec****4-(2,3-Dichlorophenyl)-1,4-dihydro-2,6-dimethyl-3,5-pyridinedicarboxylic acid ethyl methyl ester****spec****Felodipina****spec****Felodipine****spec****Felodipinum****spec****
Mycophenolic acid	For the prophylaxis of organ rejection in patients receiving allogeneic renal transplants, administered in combination with cyclosporine and corticosteroids.	Antibiotics, Antineoplastic****spec****Enzyme Inhibitors****spec****	(e)-6-(4-Hydroxy-6-methoxy-7-methyl-3-oxo-5-phthalanyl)-4-methyl-4-hexenoic acid****spec****Acide mycophenolique****spec****Acido micofenolico****spec****Acidum mycophenolicum****spec****Micofenolico acido****spec****Mycophenoic acid****spec****Mycophenolate****spec****Mycophenolsaeure****spec****
Amlexanox	Used as a paste in the mouth to treat aphthous ulcers (canker sores). 	Anti-Ulcer Agents****spec****Anti-Inflammatory Agents****spec****Anti-Allergic Agents****spec****	2-Amino-7-isopropyl-5-oxo-5H-(1)benzopyrano(2,3-b)pyridine-3-carboxylic acid****spec****Amlexanox****spec****Amlexanoxo****spec****Amlexanoxum****spec****Amoxanox****spec****
Ketoconazole	For the treatment of the following systemic fungal infections: candidiasis, chronic mucocutaneous candidiasis, oral thrush, candiduria, blastomycosis, coccidioidomycosis, histoplasmosis, chromomycosis, and paracoccidioidomycosis.	14-alpha Demethylase Inhibitors****spec****Antifungal Agents****spec****Antifungal Agents (Azole Derivatives, Systemic)****spec****	Extina****spec****Ketoconazol****spec****Ketoconazole****spec****Ketoconazolum****spec****Ketozole****spec****Nizoral****spec****Nizoral a-D****spec****Xolegel****spec****
Methoxyflurane	For use in the induction and maintenance of general anesthesia	Anesthetics, Inhalation****spec****	Methoflurane****spec****Methoxyfluoran****spec****Methoxyfluran****spec****Methoxyfluranum****spec****Methyl 1,1-difluoro-2,2-dichloroethyl ether****spec****Metoxiflurano****spec****Penthrane****spec****
Irbesartan	For the treatment of hypertension, as well as diabetic nephropathy with an elevated serum creatinine and proteinuria (&gt;300 mg/day) in patients with type 2 diabetes and hypertension. Irbesartan is also used as a second line agent in the treatment of congestive heart failure.	Angiotensin Receptor Antagonists****spec****Antihypertensive Agents****spec****Angiotensin II Type 1 Receptor Blockers****spec****	2-Butyl-3-{[2'-(1H-tetrazol-5-yl)biphenyl-4-yl]methyl}-1,3-diazaspiro[4.4]non-1-en-4-one****spec****Avapro****spec****BMS 186295****spec****Irbesartan****spec****
Topotecan	For the treatment of advanced ovarian cancer in patients with disease that has recurred or progressed following therapy with platinum-based regimens. Also used as a second-line therapy for treatment-sensitive small cell lung cancer, as well as in combination with cisplatin for the treatment of stage IV-B, recurrent, or persistent cervical cancer not amenable to curative treatment with surgery and/or radiation therapy.	Topoisomerase I Inhibitors****spec****	9-[(dimethylamino)Methyl]-10-hydroxy-(4S)-camptothecin****spec****Topotecane****spec****Topotecanum****spec****
Ethinamate	Used for the short-term treatment of insomnia, however, it generally has been replaced by other sedative-hypnotic agents.		1-Ethynylcyclohexanol carbamate****spec****Aethinyl-cyclohexyl-carbamat****spec****Ethinamate****spec****Ethinamatum****spec****Etinamato****spec****
Probenecid	For the reduction of serum uric acid concentrations in chronic gouty arthritis and tophaceous gout in patients with frequent disabling gout attacks. Has also been effectively used to promote uric acid excretion in hyperuricemia secondary to the administration of thiazide and related diuretics. 	Adjuvants, Pharmaceutic****spec****Uricosuric Agents****spec****	4-((Dipropylamino)sulfonyl)benzoic acid****spec****4-(Di-N-propylsulfamoyl)benzoesaeure****spec****4-(N,N-Dipropylsulfamoyl)benzoesaeure****spec****P-(Dipropylsulfamoyl)benzoic acid****spec****Probenecid acid****spec****Probenecida****spec****Probenecide****spec****Probenecidum****spec****
Mercaptopurine	For remission induction and maintenance therapy of acute lymphatic leukemia.	Immunosuppressive Agents****spec****Antimetabolites****spec****Purine analogues****spec****Antimetabolites, Antineoplastic****spec****Nucleic Acid Synthesis Inhibitors****spec****	1,7-Dihydro-6H-purine-6-thione****spec****3H-Purine-6-thiol****spec****6 MP****spec****6-Mercaptopurine****spec****6-MP****spec****6-Thiohypoxanthine****spec****6-Thioxopurine****spec****Mercapurin****spec****
Cerulenin	For use as a biochemical tool, Cerulenin is shown to cause dramatic weight loss in animals	Antifungal Agents****spec****	(2R,3S)-3-((4e,7e)-Nona-4,7-dienoyl)-oxirane-2-carboxylic acid amide****spec****(2R,3S)-3-((4e,7e)-Nona-4,7-dienoyl)oxirane-2-carboxamide****spec****Cerulenin****spec****
Procainamide	For the treatment of life-threatening ventricular arrhythmias.	Anti-Arrhythmia Agents****spec****	Biocoryl****spec****p-Amino-N-(2-diethylaminoethyl)benzamide****spec****p-Aminobenzoic diethylaminoethylamide****spec****Procainamida****spec****Procainamide****spec****Procainamidum****spec****
Tolterodine	For the treatment of overactive bladder (with symptoms of urinary frequency, urgency, or urge incontinence).	Muscarinic Antagonists****spec****Anti-Incontinence Agents****spec****Muscle Relaxants, Genitourinary****spec****Antispasmodics****spec****	(+)-(R)-2-(alpha-(2-(Diisopropylamino)ethyl)benzyl)-p-cresol****spec****(+)-Tolterodine****spec****Tolterodina****spec****Tolterodine****spec****Tolterodinum****spec****
Selegiline	Monotherapy for initial treatment of Parkinson's disease, as well as an adjunct therapy in patients with a decreased response to levodopa/carbadopa. Also used for the palliative treatment of mild to moderate Alzheimer's disease and at higher doses, for the treatment of depression.	Monoamine Oxidase Inhibitors****spec****Neuroprotective Agents****spec****Antiparkinson Agents****spec****Antidyskinetics****spec****Dopaminergics****spec****	(−)-selegiline****spec****L-Deprenalin****spec****Selegilina****spec****Selegilinum****spec****
Fenofibrate	For use as adjunctive therapy to diet to reduce elevated LDL-C, Total-C,Triglycerides and Apo B, and to increase HDL-C in adult patients with primary hypercholesterolemia or mixed dyslipidemia (Fredrickson Types IIa and IIb)	Fenofibrate and Derivatives****spec****Hypolipidemic Agents****spec****	2-(4-(4-Chlorobenzoyl)phenoxy)-2-methylpropanoic acid 1-methylethyl ester****spec****Fenofibrate****spec****Fenofibrato****spec****Fenofibratum****spec****Fenofibric acid****spec****Finofibrate****spec****FNF****spec****Isopropyl (4'-(P-chlorobenzoyl)-2-phenoxy-2-methyl)propionate****spec****Isopropyl 2-(4-(4-chlorobenzoyl)phenoxy)-2-methylpropionate****spec****Lipantil (tn)****spec****Procetofen****spec****Tricor (tn)****spec****
Hydroxystilbamidine Isethionate	Used in the treatment of nonprogressive blastomycosis of the skin and other mycoses.	Anti-trypanosomal Agents****spec****Antimalarials****spec****Antimycotic Agents****spec****	HSB****spec****
Thalidomide	For the acute treatment of the cutaneous manifestations of moderate to severe erythema nodosum leprosum (ENL). Also for use as maintenance therapy for prevention and suppression of the cutaneous manifestations of ENL recurrence.	Teratogens****spec****Immunosuppressive Agents****spec****Angiogenesis Inhibitors****spec****Leprostatic Agents****spec****	(+-)-N-(2,6-dioxo-3-Piperidyl)phthalimide****spec****(+-)-Thalidomide****spec****(±)-N-(2,6-dioxo-3-piperidyl)phthalimide****spec****(±)-thalidomide****spec****1,3-dioxo-2-(2,6-dioxopiperidin-3-yl)isoindoline****spec****2,6-dioxo-3-phthalimidopiperidine****spec****3-Phthalimidoglutarimide****spec****alpha-(N-Phthalimido)glutarimide****spec****alpha-N-Phthalylglutaramide****spec****alpha-Phthalimidoglutarimide****spec****Distaval****spec****K-17****spec****N-(2,6-dioxo-3-piperidyl)phthalimide****spec****N-Phthaloylglutamimide****spec****N-Phthalyl-glutaminsaeure-imid****spec****N-Phthalylglutamic acid imide****spec****Pro-ban M****spec****Sedalis****spec****Softenon****spec****Talidomida****spec****Talimol****spec****Thalidomide****spec****Thalidomidum****spec****α-(N-phthalimido)glutarimide****spec****α-N-phthalylglutaramide****spec****α-phthalimidoglutarimide****spec****
Melphalan	For the palliative treatment of multiple myeloma and for the palliation of non-resectable epithelial carcinoma of the ovary. Has also been used alone or as part of various chemotherapeutic regimens as an adjunct to surgery in the treatment of breast cancer, alone or in combination regimens for palliative treatment of locally recurrent or unresectable in-transit metastatic melanoma of the extremities, as well as for the treatment of amyloidosis with prednisone.		3-(P-(Bis(2-chloroethyl)amino)phenyl)-L-alanine****spec****3-P-(Di(2-chloroethyl)amino)-phenyl-L-alanine****spec****4-(Bis(2-chloroethyl)amino)-L-phenylalanine****spec****L-3-(P-(Bis(2-chloroethyl)amino)phenyl)alanine****spec****L-PAM****spec****L-Phenylalanine mustard****spec****L-Sarcolysine****spec****Melfalano****spec****Melphalanum****spec****p-Bis(beta-chloroethyl)aminophenylalanine****spec****P-Di-(2-chloroethyl)amino-L-phenylalanine****spec****P-L-Sarcolysin****spec****P-N-Bis(2-chloroethyl)amino-L-phenylalanine****spec****p-N,N-bis(2-chloroethyl)amino-L-phenylalanine****spec****Phenylalanine mustard****spec****Phenylalanine nitrogen mustard****spec****
Memantine	For the treatment of moderate to severe dementia of the Alzheimer's type.	Antiparkinson Agents****spec****Antidyskinetics****spec****Dopamine Agents****spec****Excitatory Amino Acid Antagonists****spec****	1-Amino-3,5-dimethyladamantane****spec****1,3-Dimethyl-5-adamantanamine****spec****3,5-Dimethyl-1-adamantanamine****spec****3,5-Dimethyl-1-aminoadamantane****spec****3,5-Dimethyltricyclo(3.3.1.1(3,7))decan-1-amine****spec****Memantina****spec****Memantine****spec****Memantinum****spec****
Gatifloxacin	For the treatment of bronchitis, sinusitis, community-acquired pneumonia, and skin infections (abscesses, wounds) caused by S. pneumoniae, H. influenzae, S. aureus, M. pneumoniae, C. pneumoniae, L. pneumophila, S. pyogenes	Quinolones****spec****Antibiotics****spec****	1-Cyclopropyl-1,4-dihydro-6-fluoro-8-methoxy-7-(3-methyl-1-piperazinyl)-4-oxo-3-quinolinecarboxylic acid****spec****1-Cyclopropyl-6-fluoro- 8-methoxy-7-(3-methylpiperazin-1-yl)- 4-oxo-quinoline-3-carboxylic acid****spec****AM 1155****spec****Gatifloxacine****spec****Gatifloxacino****spec****Gatifloxacinum****spec****
Rifampicin	For the treatment of Tuberculosis and Tuberculosis-related mycobacterial infections.	Antitubercular Agents****spec****Enzyme Inhibitors****spec****Antibiotics, Antitubercular****spec****Antibiotics****spec****Leprostatic Agents****spec****Nucleic Acid Synthesis Inhibitors****spec****	3-(((4-Methyl-1-piperazinyl)imino)methyl)rifamycin sv****spec****RFP****spec****Rifampicina****spec****Rifampicinum****spec****Rifampin****spec****
Lubiprostone	For the treatment of chronic idiopathic constipation in the adult population. Also used for the treatment of irritable bowel syndrome with constipation in women who are 18 years of age or older.	Laxatives****spec****	Amitiza****spec****Lubiprostone****spec****RU-0211****spec****
Fluocinonide	A topical anti-inflammatory product for the relief of the inflammatory and pruritic manifestations of corticosteroid-responsive dermatoses.	Anti-Inflammatory Agents****spec****Anti-Allergic Agents****spec****Glucocorticoids****spec****	Fluocinonide****spec****Fluocinonido****spec****Fluocinonidum****spec****Lidex****spec****Vanos****spec****
Abacavir	For the treatment of HIV-1 infection, in combination with other antiretroviral agents.	Reverse Transcriptase Inhibitors****spec****Anti-HIV Agents****spec****	{(1S-cis)-4-[2-amino-6-(cyclopropylamino)-9H-purin-9-yl]cyclopent-2-en-1-yl}methanol****spec****Abacavir****spec****ABC ****spec****
Ergoloid mesylate	For use as an adjunct therapy for patients with dementia.	Adrenergic alpha-Antagonists****spec****Vasodilator Agents****spec****Nootropic Agents****spec****	co-dergocrine mesilate****spec****co-dergocrine mesylate****spec****co-dergocrine methanesulfonate****spec****codergocrine mesilate****spec****codergocrine mesylate****spec****codergocrine methanesulfonate****spec****Dihydroergotoxine Mesilate****spec****Dihydroergotoxine Mesylate****spec****dihydroergotoxine methanesulfonate****spec****Dihydroergotoxine Methanesulfonate****spec****dihydroergotoxine methanesulfonates****spec****dihydroergotoxine monomethanesulfonate****spec****dihydrogenated ergot alkaloids****spec****Ergoloid Mesylates****spec****ergoloid methanesulfonate****spec****ergoloid methanesulfonates****spec****hydrogenated ergot alkaloids****spec****
Ibuprofen	For symptomatic treatment of rheumatoid arthritis, juvenile rheumatoid arthritis and osteoarthritis. May be used to treat mild to moderate pain and for the management of dysmenorrhea. May be used to reduce fever. Has been used with some success for treating ankylosing spondylitis, gout and psoriatic arthritis. May reduce pain, fever and inflammation of pericarditis. May be used IV with opiates to relieve moderate to severe pain. Ibuprofen lysine may be used IV to treat patent ductus arteriosus (PDA) in premature neonates.  	Analgesics, Non-Narcotic****spec****Anti-Inflammatory Agents, Non-Steroidal****spec****Cyclooxygenase Inhibitors****spec****	(+-)-2-(P-Isobutylphenyl)propionic acid****spec****(+-)-alpha-Methyl-4-(2-methylpropyl)benzeneacetic acid****spec****(+-)-Ibuprofen****spec****(+-)-P-Isobutylhydratropic acid****spec****(4-Isobutylphenyl)-alpha-methylacetic acid****spec****(RS)-ibuprofen****spec****2-(4-Isobutylphenyl)propanoic acid****spec****4-Isobutylhydratropic acid****spec****Adran****spec****Advil****spec****alpha-(4-Isobutylphenyl)propionic acid****spec****alpha-(P-Isobutylphenyl)propionic acid****spec****Amibufen****spec****Anco****spec****Anflagen****spec****Apsifen****spec****Bluton****spec****Brufen****spec****Brufort****spec****Buburone****spec****Butylenin****spec****Dolgin****spec****Dolgirid****spec****Dolgit****spec****Dolo-dolgit****spec****Ebufac****spec****Epobron****spec****Femadon****spec****Haltran****spec****Ibu-attritin****spec****Ibumetin****spec****Ibuprocin****spec****Ibuprofen****spec****Ibuprophen****spec****Ibutid****spec****Inabrin****spec****Inoven****spec****Lamidon****spec****Lebrufen****spec****Liptan****spec****Medipren****spec****Motrin****spec****Mynosedin****spec****Nobfen****spec****Nobgen****spec****Nuprin****spec****Nurofen****spec****P-Isobutylhydratropic Acid****spec****Para-Isobutylhydratropic Acid****spec****Pediaprofen****spec****Roidenin****spec****Rufen****spec****Seclodin****spec****Suspren****spec****Tabalon****spec****Trendar****spec****Urem****spec****
Novobiocin	For the treatment of infections due to staphylococci and other susceptible organisms	Enzyme Inhibitors****spec****Anti-Bacterial Agents****spec****Nucleic Acid Synthesis Inhibitors****spec****	N-{7-[(3-O-carbamoyl-6-deoxy-5-methyl-4-O-methyl-beta-D-gulopyranosyl)oxy]-4-hydroxy-8-methyl-2-oxo-2H-chromen-3-yl}-4-hydroxy-3-(3-methylbut-2-en-1-yl)benzamide****spec****Novobiocin****spec****Novobiocina****spec****Novobiocine****spec****Novobiocinum****spec****
Benzylpenicillin	For use in the treatment of severe infections caused by penicillin G-susceptible microorganisms when rapid and high penicillin levels are required such as in the treatment of septicemia, meningitis, pericarditis, endocarditis and severe pneumonia.	Penicillins****spec****Anti-Bacterial Agents****spec****	(2S,5R,6R)-3,3-Dimethyl-7-oxo-6-(phenylacetamido)-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid****spec****6-(2-phenylacetamido)penicillanic acid****spec****Bencilpenicilina****spec****Benzylpenicillin****spec****Benzylpenicilline****spec****Benzylpenicillinic acid****spec****Benzylpenicillinum****spec****Free penicillin II****spec****PCG****spec****Penicillin G****spec****PG****spec****
Nitrendipine	For the treatment of mild to moderate hypertension	Antihypertensive Agents****spec****Vasodilator Agents****spec****Calcium Channel Blockers****spec****	1,4-dihydro-2,6-Dimethyl-4-(3-nitrophenyl)-3,5-pyridinedicarboxylic acid ethyl methyl ester****spec****BAY e 5009****spec****Bayotensin****spec****Baypress****spec****Bylotensin****spec****Deiten****spec****Nidrel****spec****Nitrendipino****spec****Nitrendipinum****spec****
Mimosine			(S)-2-Amino-3-(3-hydroxy-4-oxo-4H-pyridin-1-yl)propanoate****spec****L-Mimosine****spec****Leucaenine****spec****Leucaenol****spec****Leucenine****spec****Leucenol****spec****Mimosin****spec****
Tocainide	For the treatment of documented ventricular arrhythmias, such as sustained ventricular tachycardia, that, in the judgment of the physician, are life-threatening.	Sodium Channel Blockers****spec****Anti-Arrhythmia Agents****spec****Voltage-Gated Sodium Channel Blockers****spec****	2-Amino-2',6'-propionoxylidide****spec****2-amino-N-(2,6-Dimethylphenyl)propanamide****spec****2-Amino-N-(2,6-dimethylphenyl)propionamid****spec****Alanyl-2,6-xylidide****spec****Tocainida****spec****Tocainidum****spec****
Echothiophate	For use in the treatment of subacute or chronic angle-closure glaucoma after iridectomy or where surgery is refused or contraindicated.	Parasympathomimetics****spec****Cholinesterase Inhibitors****spec****Miotics****spec****	2-(Diethoxyphosphorylsulfanyl)ethyl-N,N,N-trimethylazanium iodide****spec****Echothiophate****spec****Ecothiopatum****spec****Phospholine****spec****
Praziquantel	For the treatment of infections due to all species of schistosoma.		Biltricide****spec****
Norfloxacin	For the treatment of urinary tract infection	Quinolones****spec****Anti-Infective Agents****spec****	1-Ethyl-6-fluor-1,4-dihydro-4-oxo-7-(1-piperazinyl)-3-chinolincarbonsaeure****spec****1-Ethyl-6-fluoro-1,4-dihydro-4-oxo-7-(1-piperazinyl)-3-quinolinecarboxylic acid****spec****1,4-Dihydro-1-ethyl-6-fluoro-4-oxo-7-(1-piperazinyl)-3-quinolinecarboxylic acid****spec****NFLX****spec****Norfloxacine****spec****Norfloxacino****spec****Norfloxacinum****spec****
Amoxicillin	For the treatment of infections of the ear, nose, and throat, the genitourinary tract, the skin and skin structure, and the lower respiratory tract due to susceptible (only b-lactamase-negative) strains of <i>Streptococcus</i> spp. (a- and b-hemolytic strains only), <i>S. pneumoniae</i>, <i>Staphylococcus</i> spp., <i>H. influenzae</i>, <i>E. coli</i>, <i>P. mirabilis</i>, or <i>E. faecalis</i>. Also for the treatment of acute, uncomplicated gonorrhea (ano-genital and urethral infections) due to <i>N. gonorrhoeae</i> (males and females).	Penicillins****spec****Anti-Bacterial Agents****spec****	(2S,5R,6R)-6-{[(2R)-2-amino-2-(4-hydroxyphenyl)acetyl]amino}-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid****spec****6-(P-Hydroxy-alpha-aminophenylacetamido)penicillanic acid****spec****6-(p-hydroxy-α-aminophenylacetamido)penicillanic acid****spec****alpha-amino-P-Hydroxybenzylpenicillin****spec****Amolin****spec****Amopenixin****spec****Amox****spec****Amoxicilina****spec****Amoxicillin****spec****Amoxicillin anhydrous****spec****Amoxicilline****spec****Amoxicillinum****spec****Amoxycillin****spec****AMPC****spec****AX****spec****Clamoxyl****spec****Moxal****spec****p-Hydroxyampicillin****spec****α-amino-p-hydroxybenzylpenicillin****spec****
Azlocillin	For the treatment of infections caused by <i>Pseudomonas aeruginosa</i>, <i>Escherichia coli</i>, and <i>Haemophilus influenzae</i>.	Penicillins****spec****Anti-Bacterial Agents****spec****	(2S,5R,6R)-3,3-Dimethyl-7-oxo-6-{[(2R)-2-{[(2-oxoimidazolidin-1-yl)carbonyl]amino}-2-phenylacetyl]amino}-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid****spec****Azlocilina****spec****Azlocillin****spec****Azlocilline****spec****Azlocillinum****spec****
Oxybutynin	For the treatment of overactive bladder.	Muscarinic Antagonists****spec****Cholinergic Antagonists****spec****Muscle Relaxants, Genitourinary****spec****Parasympatholytics****spec****Antispasmodics****spec****	4-(Diethylamino)-2-butynyl alpha-phenylcyclohexaneglycolic acid ester****spec****4-Diethylamino-2-butinyl alpha-cyclohexylmandelat****spec****4-Diethylamino-2-butynyl alpha-phenylcyclohexaneglycolate****spec****Benzeneacetic acid, alpha-cyclohexyl-alpha-hydroxy-, 4-(diethylamino)-2-butynyl ester****spec****Cyclohexaneglycolic acid, alpha-phenyl-, 4-(diethylamino)-2-butynyl ester****spec****Oxibutinina****spec****Oxybutynin****spec****Oxybutynine****spec****Oxybutyninum****spec****
Acetophenazine	For the treatment of disorganized and psychotic thinking. Also used to help treat false perceptions (e.g. hallucinations or delusions.)	Antipsychotic Agents****spec****	Acetophenazine****spec****
Isoprenaline	For the treatment of mild or transient episodes of heart block that do not require electric shock or pacemaker therapy also used in management of asthma and chronic bronchitis	Sympathomimetics****spec****Adrenergic beta-Agonists****spec****Cardiotonic Agents****spec****Bronchodilator Agents****spec****	(+-)-Isoprenaline****spec****(+-)-Isoproterenol****spec****(±)-isoprenaline****spec****(±)-isoproterenol****spec****1-(3,4-Dihydroxyphenyl)-2-(isopropylamino)ethanol****spec****1-(3,4-Dihydroxyphenyl)-2-isopropylaminoethanol****spec****3,4-Dihydroxy-alpha-[(isopropylamino)methyl]benzyl alcohol****spec****alpha-(Isopropylaminomethyl)protocatechuyl alcohol****spec****Isoprenalina****spec****Isoprenaline****spec****Isoprenalinum****spec****Isopropyl noradrenaline****spec****Isoproterenol****spec****N-Isopropyl-beta-dihydroxyphenyl-beta-hydroxyethylamine****spec****N-isopropyl-β-dihydroxyphenyl-β-hydroxyethylamine****spec****N-Isopropylnoradrenaline****spec****N-Isopropylnorepinephrine****spec****α-(isopropylaminomethyl)protocatechuyl alcohol****spec****
Melatonin	Used orally for jet lag, insomnia, shift-work disorder, circadian rhythm disorders in the blind (evidence for efficacy), and benzodiazepine and nicotine withdrawal. Evidence indicates that melatonin is likely effective for treating circadian rhythm sleep disorders in blind children and adults. It has received FDA orphan drug status as an oral medication for this use. A number of studies have shown that melatonin may be effective for treating sleep-wake cycle disturbances in children and adolescents with mental retardation, autism, and other central nervous system disorders. It appears to decrease the time to fall asleep in children with developmental disabilities, such as cerebral palsy, autism, and mental retardation. It may also improve secondary insomnia associated with various sleep-wake cycle disturbances. Other possible uses for which there is some evidence for include: benzodiazepine withdrawal, cluster headache, delayed sleep phase syndrome (DSPS), primary insomnia, jet lag, nicotine withdrawal, preoperative anxiety and sedation, prostate cancer, solid tumors (when combined with IL-2 therapy in certain cancers), sunburn prevention (topical use), tardive dyskinesia, thrombocytopenia associated with cancer, chemotherapy and other disorders. 	Central Nervous System Depressants****spec****Antioxidants****spec****	5-methoxy-N-acetyltryptamine****spec****Melatonin****spec****Melatonine****spec****N-[2-(5-methoxyindol-3-yl)ethyl]acetamide****spec****N-Acetyl-5-methoxytryptamine****spec****
